"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","59","Открытие модального окна ингредиента","tests","2026-06-21","passed","2026-06-21","TestConstructor","test_constructor","",""
"","599","Закрытие модального окна","tests","2026-06-21","passed","2026-06-21","TestConstructor","test_constructor","",""
"","1110","Проверка счетчиков заказов","tests","2026-06-21","passed","2026-06-21","TestFeed","test_feed","",""
"","45","Открытие ленты заказов","tests","2026-06-21","passed","2026-06-21","TestFeed","test_feed","",""
"","62","Открытие модального окна ингредиента","tests","2026-06-21","passed","2026-06-21","TestConstructor","test_constructor","",""
"","42","Переход в конструктор","tests","2026-06-21","passed","2026-06-21","TestConstructor","test_constructor","",""
"","38","Переход в конструктор","tests","2026-06-21","passed","2026-06-21","TestConstructor","test_constructor","",""
"","610","Закрытие модального окна","tests","2026-06-21","passed","2026-06-21","TestConstructor","test_constructor","",""
"","47","Открытие ленты заказов","tests","2026-06-21","passed","2026-06-21","TestFeed","test_feed","",""
"","1086","Проверка счетчиков заказов","tests","2026-06-21","passed","2026-06-21","TestFeed","test_feed","",""
